x,y,z
-5.37E-01,-1.8,1.47877
-0.555555,-1.8,1.49301
-1.12844,-1.9,1.02096
-1.14575,-1.9,1.05911
-1.15891,-1.9,1.09888
-1.16776,-1.9,1.13982
-1.17222,-1.9,1.18147
-1.17222,-1.9,1.22336
-1.16776,-1.9,1.26501
-1.15891,-1.9,1.30596
-1.14575,-1.9,1.34573
-1.12844,-1.9,1.38387
-1.10718,-1.9,1.41996
-1.0822,-1.9,1.45359
-1.05378,-1.9,1.48437
-1.02226,-1.9,1.51195
-0.98798,-1.9,1.53603
-0.951337,-1.9,1.56E+00
-0.912744,-1.9,1.57261
-0.872638,-1.9,1.58471
-0.831474,-1.9,1.59247
-0.789718,-1.9,1.59581
